Servant,Rarity,Class,S2,S3,S4,S5,S6,S7,S8,S9,S10,A2,A3,A4,A5,A6,A7,A8,A9,A10
织田信长(Berserker),4,Berserker,"{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '奇奇神酒': 2, 'QP': 800000}","{'狂之秘石': 4, '奇奇神酒': 4, 'QP': 2000000}","{'狂之秘石': 10, '魔术髓液': 12, 'QP': 2500000}","{'魔术髓液': 24, '追忆的贝壳': 5, 'QP': 5000000}","{'追忆的贝壳': 15, '咒兽胆石': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '万死的毒针': 10, 'QP': 800000}","{'狂之秘石': 4, '万死的毒针': 20, 'QP': 2000000}","{'狂之秘石': 10, '混沌之爪': 3, 'QP': 2500000}","{'混沌之爪': 5, '永远结冰': 5, 'QP': 5000000}","{'永远结冰': 15, '鬼炎鬼灯': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
阿尔托莉雅·潘德拉贡〔Alter〕(Rider),5,Rider,"{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '龙之逆鳞': 2, 'QP': 1600000}","{'骑之秘石': 5, '龙之逆鳞': 4, 'QP': 4000000}","{'骑之秘石': 12, '大骑士勋章': 10, 'QP': 5000000}","{'大骑士勋章': 20, '龙之牙': 15, 'QP': 10000000}","{'龙之牙': 44, '陨蹄铁': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '追忆的贝壳': 5, 'QP': 1600000}","{'骑之秘石': 5, '追忆的贝壳': 10, 'QP': 4000000}","{'骑之秘石': 12, '咒兽胆石': 2, 'QP': 5000000}","{'咒兽胆石': 4, '永远结冰': 6, 'QP': 10000000}","{'永远结冰': 18, '极光之钢': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
海伦娜·布拉瓦茨基(Archer),4,Archer,"{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '封魔之灯': 3, 'QP': 800000}","{'弓之秘石': 4, '封魔之灯': 5, 'QP': 2000000}","{'弓之秘石': 10, '蛇之宝玉': 4, 'QP': 2500000}","{'蛇之宝玉': 7, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 30, '血之泪石': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '黑兽脂': 3, 'QP': 800000}","{'弓之秘石': 4, '黑兽脂': 5, 'QP': 2000000}","{'弓之秘石': 10, '追忆的贝壳': 4, 'QP': 2500000}","{'追忆的贝壳': 8, '振荡火药': 15, 'QP': 5000000}","{'振荡火药': 45, '永远结冰': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
源赖光(Lancer),4,Lancer,"{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '英雄之证': 12, 'QP': 800000}","{'枪之秘石': 4, '英雄之证': 24, 'QP': 2000000}","{'枪之秘石': 10, '追忆的贝壳': 4, 'QP': 2500000}","{'追忆的贝壳': 8, '奇奇神酒': 2, 'QP': 5000000}","{'奇奇神酒': 6, '战马的幼角': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '无间齿轮': 4, 'QP': 800000}","{'枪之秘石': 4, '无间齿轮': 8, 'QP': 2000000}","{'枪之秘石': 10, '蛮神心脏': 2, 'QP': 2500000}","{'蛮神心脏': 4, '永远结冰': 5, 'QP': 5000000}","{'永远结冰': 15, '鬼炎鬼灯': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
伊什塔尔(Rider),4,Rider,"{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '追忆的贝壳': 4, 'QP': 800000}","{'骑之秘石': 4, '追忆的贝壳': 8, 'QP': 2000000}","{'骑之秘石': 10, '起源的胎毛': 3, 'QP': 2500000}","{'起源的胎毛': 5, '智慧之圣甲虫像': 2, 'QP': 5000000}","{'智慧之圣甲虫像': 6, '奇奇神酒': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '八连双晶': 4, 'QP': 800000}","{'骑之秘石': 4, '八连双晶': 8, 'QP': 2000000}","{'骑之秘石': 10, '蛇之宝玉': 4, 'QP': 2500000}","{'蛇之宝玉': 7, '九十九镜': 2, 'QP': 5000000}","{'九十九镜': 6, '永远结冰': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
帕尔瓦蒂,4,Lancer,"{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '战马的幼角': 3, 'QP': 800000}","{'枪之秘石': 4, '战马的幼角': 5, 'QP': 2000000}","{'枪之秘石': 10, '蛇之宝玉': 4, 'QP': 2500000}","{'蛇之宝玉': 7, '智慧之圣甲虫像': 2, 'QP': 5000000}","{'智慧之圣甲虫像': 6, '蛮神心脏': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'枪之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'枪之秘石': 10, '封魔之灯': 3, 'QP': 2500000}","{'封魔之灯': 5, '悠久果实': 3, 'QP': 5000000}","{'悠久果实': 9, '虹之线球': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
Archer Inferno,4,Archer,"{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '凤凰羽毛': 4, 'QP': 800000}","{'弓之秘石': 4, '凤凰羽毛': 7, 'QP': 2000000}","{'弓之秘石': 10, '陨蹄铁': 4, 'QP': 2500000}","{'陨蹄铁': 8, '奇奇神酒': 2, 'QP': 5000000}","{'奇奇神酒': 6, '血之泪石': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '英雄之证': 12, 'QP': 800000}","{'弓之秘石': 4, '英雄之证': 24, 'QP': 2000000}","{'弓之秘石': 10, '黑兽脂': 3, 'QP': 2500000}","{'黑兽脂': 5, '祸罪之箭头': 5, 'QP': 5000000}","{'祸罪之箭头': 15, '鬼炎鬼灯': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
Assassin Paraiso,4,Assassin,"{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '枯淡勾玉': 4, 'QP': 800000}","{'杀之秘石': 4, '枯淡勾玉': 8, 'QP': 2000000}","{'杀之秘石': 10, '万死的毒针': 10, 'QP': 2500000}","{'万死的毒针': 20, '混沌之爪': 3, 'QP': 5000000}","{'混沌之爪': 9, '虚影之尘': 40, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '龙之牙': 10, 'QP': 800000}","{'杀之秘石': 4, '龙之牙': 20, 'QP': 2000000}","{'杀之秘石': 10, '龙之逆鳞': 2, 'QP': 2500000}","{'龙之逆鳞': 4, '奇奇神酒': 2, 'QP': 5000000}","{'奇奇神酒': 6, '九十九镜': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
宝藏院胤舜,3,Lancer,"{'枪之辉石': 4, 'QP': 50000}","{'枪之辉石': 8, 'QP': 100000}","{'枪之魔石': 4, 'QP': 300000}","{'枪之魔石': 8, '八连双晶': 4, 'QP': 400000}","{'枪之秘石': 4, '八连双晶': 7, 'QP': 1000000}","{'枪之秘石': 8, '战马的幼角': 2, 'QP': 1250000}","{'战马的幼角': 4, '枯淡勾玉': 4, 'QP': 2500000}","{'枯淡勾玉': 12, '凶骨': 48, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'枪之辉石': 4, 'QP': 50000}","{'枪之辉石': 8, 'QP': 100000}","{'枪之魔石': 4, 'QP': 300000}","{'枪之魔石': 8, '凤凰羽毛': 3, 'QP': 400000}","{'枪之秘石': 4, '凤凰羽毛': 6, 'QP': 1000000}","{'枪之秘石': 8, '蛮神心脏': 2, 'QP': 1250000}","{'蛮神心脏': 3, '闲古铃': 4, 'QP': 2500000}","{'闲古铃': 12, '奇奇神酒': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
柳生但马守宗矩,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '英雄之证': 12, 'QP': 800000}","{'剑之秘石': 4, '英雄之证': 24, 'QP': 2000000}","{'剑之秘石': 10, '虚影之尘': 8, 'QP': 2500000}","{'虚影之尘': 16, '八连双晶': 5, 'QP': 5000000}","{'八连双晶': 15, '奇奇神酒': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '凶骨': 12, 'QP': 800000}","{'剑之秘石': 4, '凶骨': 24, 'QP': 2000000}","{'剑之秘石': 10, '起源的胎毛': 3, 'QP': 2500000}","{'起源的胎毛': 5, '枯淡勾玉': 5, 'QP': 5000000}","{'枯淡勾玉': 15, '晓光炉心': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
加藤段藏,4,Assassin,"{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '鬼魂提灯': 4, 'QP': 800000}","{'杀之秘石': 4, '鬼魂提灯': 8, 'QP': 2000000}","{'杀之秘石': 10, '愚者之锁': 12, 'QP': 2500000}","{'愚者之锁': 24, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 30, '枯淡勾玉': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '无间齿轮': 4, 'QP': 800000}","{'杀之秘石': 4, '无间齿轮': 8, 'QP': 2000000}","{'杀之秘石': 10, '混沌之爪': 3, 'QP': 2500000}","{'混沌之爪': 5, '魔术髓液': 15, 'QP': 5000000}","{'魔术髓液': 45, '梦幻的鳞粉': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
刑部姬,5,Assassin,"{'杀之辉石': 5, 'QP': 200000}","{'杀之辉石': 12, 'QP': 400000}","{'杀之魔石': 5, 'QP': 1200000}","{'杀之魔石': 12, '虚影之尘': 10, 'QP': 1600000}","{'杀之秘石': 5, '虚影之尘': 20, 'QP': 4000000}","{'杀之秘石': 12, '世界树之种': 6, 'QP': 5000000}","{'世界树之种': 12, '奇奇神酒': 3, 'QP': 10000000}","{'奇奇神酒': 8, '枯淡勾玉': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'杀之辉石': 5, 'QP': 200000}","{'杀之辉石': 12, 'QP': 400000}","{'杀之魔石': 5, 'QP': 1200000}","{'杀之魔石': 12, '禁断书页': 5, 'QP': 1600000}","{'杀之秘石': 5, '禁断书页': 10, 'QP': 4000000}","{'杀之秘石': 12, '精灵根': 2, 'QP': 5000000}","{'精灵根': 4, '九十九镜': 3, 'QP': 10000000}","{'九十九镜': 8, '闲古铃': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
机械伊丽亲,4,Alterego,"{'骑之辉石': 4, '狂之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, '狂之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, '狂之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '狂之魔石': 10, 'QP': 800000}","{'骑之秘石': 4, '狂之秘石': 4, 'QP': 2000000}","{'骑之秘石': 10, '狂之秘石': 10, 'QP': 2500000}","{'血之泪石': 4, '黑兽脂': 4, 'QP': 5000000}","{'龙之逆鳞': 7, '奇奇神酒': 7, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'骑之辉石': 4, '狂之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, '狂之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, '狂之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '狂之魔石': 10, 'QP': 800000}","{'骑之秘石': 4, '狂之秘石': 4, 'QP': 2000000}","{'骑之秘石': 10, '狂之秘石': 10, 'QP': 2500000}","{'无间齿轮': 6, '巨人的戒指': 6, 'QP': 5000000}","{'晓光炉心': 10, '煌星碎片': 7, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
机械伊丽亲Ⅱ号机,4,Alterego,"{'骑之辉石': 4, '狂之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, '狂之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, '狂之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '狂之魔石': 10, 'QP': 800000}","{'骑之秘石': 4, '狂之秘石': 4, 'QP': 2000000}","{'骑之秘石': 10, '狂之秘石': 10, 'QP': 2500000}","{'血之泪石': 4, '黑兽脂': 4, 'QP': 5000000}","{'龙之逆鳞': 7, '奇奇神酒': 7, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'骑之辉石': 4, '狂之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, '狂之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, '狂之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '狂之魔石': 10, 'QP': 800000}","{'骑之秘石': 4, '狂之秘石': 4, 'QP': 2000000}","{'骑之秘石': 10, '狂之秘石': 10, 'QP': 2500000}","{'无间齿轮': 6, '巨人的戒指': 6, 'QP': 5000000}","{'晓光炉心': 10, '煌星碎片': 7, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
俄刻阿诺斯的Caster,4,Caster,"{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '起源的胎毛': 3, 'QP': 800000}","{'术之秘石': 4, '起源的胎毛': 5, 'QP': 2000000}","{'术之秘石': 10, '禁断书页': 4, 'QP': 2500000}","{'禁断书页': 8, '宵泣之铁桩': 15, 'QP': 5000000}","{'宵泣之铁桩': 45, '蛮神心脏': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '万死的毒针': 10, 'QP': 800000}","{'术之秘石': 4, '万死的毒针': 20, 'QP': 2000000}","{'术之秘石': 10, '陨蹄铁': 4, 'QP': 2500000}","{'陨蹄铁': 8, '魔术髓液': 15, 'QP': 5000000}","{'魔术髓液': 45, '悠久果实': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
哪吒,4,Lancer,"{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '人工生命体幼体': 4, 'QP': 800000}","{'枪之秘石': 4, '人工生命体幼体': 8, 'QP': 2000000}","{'枪之秘石': 10, '无间齿轮': 4, 'QP': 2500000}","{'无间齿轮': 8, '魔术髓液': 15, 'QP': 5000000}","{'魔术髓液': 45, '枯淡勾玉': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '混沌之爪': 3, 'QP': 800000}","{'枪之秘石': 4, '混沌之爪': 5, 'QP': 2000000}","{'枪之秘石': 10, '战马的幼角': 3, 'QP': 2500000}","{'战马的幼角': 5, '闲古铃': 5, 'QP': 5000000}","{'闲古铃': 15, '晓光炉心': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
米德拉什的Caster,4,Caster,"{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '宵泣之铁桩': 12, 'QP': 800000}","{'术之秘石': 4, '宵泣之铁桩': 24, 'QP': 2000000}","{'术之秘石': 10, '凤凰羽毛': 4, 'QP': 2500000}","{'凤凰羽毛': 7, '愚者之锁': 15, 'QP': 5000000}","{'愚者之锁': 45, '智慧之圣甲虫像': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'术之辉石': 4, 'QP': 100000}","{'术之辉石': 10, 'QP': 200000}","{'术之魔石': 4, 'QP': 600000}","{'术之魔石': 10, '蛇之宝玉': 4, 'QP': 800000}","{'术之秘石': 4, '蛇之宝玉': 7, 'QP': 2000000}","{'术之秘石': 10, '封魔之灯': 3, 'QP': 2500000}","{'封魔之灯': 5, '九十九镜': 2, 'QP': 5000000}","{'九十九镜': 6, '真理之卵': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
阿比盖尔·威廉姆斯,5,Foreigner,"{'世界树之种': 10, 'QP': 200000}","{'愚者之锁': 10, 'QP': 400000}","{'魔术髓液': 12, 'QP': 1200000}","{'人工生命体幼体': 12, 'QP': 1600000}","{'凤凰羽毛': 12, 'QP': 4000000}","{'封魔之灯': 15, 'QP': 5000000}","{'精灵根': 15, 'QP': 10000000}","{'蛮神心脏': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'虚影之尘': 10, 'QP': 200000}","{'禁断书页': 10, 'QP': 400000}","{'蛇之宝玉': 12, 'QP': 1200000}","{'血之泪石': 12, 'QP': 1600000}","{'宵泣之铁桩': 12, 'QP': 4000000}","{'魔术髓液': 15, 'QP': 5000000}","{'虹之线球': 15, 'QP': 10000000}","{'煌星碎片': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
埃列什基伽勒,5,Lancer,"{'枪之辉石': 5, 'QP': 200000}","{'枪之辉石': 12, 'QP': 400000}","{'枪之魔石': 5, 'QP': 1200000}","{'枪之魔石': 12, '愚者之锁': 15, 'QP': 1600000}","{'枪之秘石': 5, '愚者之锁': 29, 'QP': 4000000}","{'枪之秘石': 12, '鬼魂提灯': 5, 'QP': 5000000}","{'鬼魂提灯': 10, '枯淡勾玉': 6, 'QP': 10000000}","{'枯淡勾玉': 18, '宵泣之铁桩': 72, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'枪之辉石': 5, 'QP': 200000}","{'枪之辉石': 12, 'QP': 400000}","{'枪之魔石': 5, 'QP': 1200000}","{'枪之魔石': 12, '虚影之尘': 10, 'QP': 1600000}","{'枪之秘石': 5, '虚影之尘': 20, 'QP': 4000000}","{'枪之秘石': 12, '蛮神心脏': 2, 'QP': 5000000}","{'蛮神心脏': 4, '九十九镜': 3, 'QP': 10000000}","{'九十九镜': 8, '赦免的小钟': 72, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
阿蒂拉·the·San〔ta〕,4,Archer,"{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'弓之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'弓之秘石': 10, '陨蹄铁': 4, 'QP': 2500000}","{'陨蹄铁': 8, '精灵根': 2, 'QP': 5000000}","{'精灵根': 6, '起源的胎毛': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '愚者之锁': 12, 'QP': 800000}","{'弓之秘石': 4, '愚者之锁': 24, 'QP': 2000000}","{'弓之秘石': 10, '鬼魂提灯': 4, 'QP': 2500000}","{'鬼魂提灯': 8, '永远结冰': 5, 'QP': 5000000}","{'永远结冰': 15, '煌星碎片': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
葛饰北斋,5,Foreigner,"{'凶骨': 10, 'QP': 200000}","{'虚影之尘': 10, 'QP': 400000}","{'禁断书页': 12, 'QP': 1200000}","{'八连双晶': 12, 'QP': 1600000}","{'鬼魂提灯': 12, 'QP': 4000000}","{'黑兽脂': 15, 'QP': 5000000}","{'龙之逆鳞': 15, 'QP': 10000000}","{'咒兽胆石': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'世界树之种': 10, 'QP': 200000}","{'追忆的贝壳': 10, 'QP': 400000}","{'人工生命体幼体': 12, 'QP': 1200000}","{'精灵根': 12, 'QP': 1600000}","{'永远结冰': 12, 'QP': 4000000}","{'枯淡勾玉': 15, 'QP': 5000000}","{'九十九镜': 15, 'QP': 10000000}","{'煌星碎片': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
塞弥拉弥斯,5,Assassin,"{'杀之辉石': 5, 'QP': 200000}","{'杀之辉石': 12, 'QP': 400000}","{'杀之魔石': 5, 'QP': 1200000}","{'杀之魔石': 12, '万死的毒针': 12, 'QP': 1600000}","{'杀之秘石': 5, '万死的毒针': 24, 'QP': 4000000}","{'杀之秘石': 12, '龙之牙': 12, 'QP': 5000000}","{'龙之牙': 24, '凤凰羽毛': 5, 'QP': 10000000}","{'凤凰羽毛': 15, '精灵根': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'杀之辉石': 5, 'QP': 200000}","{'杀之辉石': 12, 'QP': 400000}","{'杀之魔石': 5, 'QP': 1200000}","{'杀之魔石': 12, '蛇之宝玉': 4, 'QP': 1600000}","{'杀之秘石': 5, '蛇之宝玉': 8, 'QP': 4000000}","{'杀之秘石': 12, '禁断书页': 5, 'QP': 5000000}","{'禁断书页': 10, '魔术髓液': 18, 'QP': 10000000}","{'魔术髓液': 54, '九十九镜': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
浅上藤乃,4,Archer,"{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '虚影之尘': 8, 'QP': 800000}","{'弓之秘石': 4, '虚影之尘': 16, 'QP': 2000000}","{'弓之秘石': 10, '凶骨': 12, 'QP': 2500000}","{'凶骨': 24, '宵泣之铁桩': 15, 'QP': 5000000}","{'宵泣之铁桩': 45, '魔术髓液': 60, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '咒兽胆石': 2, 'QP': 800000}","{'弓之秘石': 4, '咒兽胆石': 4, 'QP': 2000000}","{'弓之秘石': 10, '血之泪石': 3, 'QP': 2500000}","{'血之泪石': 5, '祸罪之箭头': 5, 'QP': 5000000}","{'祸罪之箭头': 15, '梦幻的鳞粉': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
阿纳斯塔西娅,5,Caster,"{'术之辉石': 5, 'QP': 200000}","{'术之辉石': 12, 'QP': 400000}","{'术之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '追忆的贝壳': 5, 'QP': 1600000}","{'术之秘石': 5, '追忆的贝壳': 10, 'QP': 4000000}","{'术之秘石': 12, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 20, '禁断书页': 6, 'QP': 10000000}","{'禁断书页': 18, '振荡火药': 72, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'术之辉石': 5, 'QP': 200000}","{'术之辉石': 12, 'QP': 400000}","{'术之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '凤凰羽毛': 4, 'QP': 1600000}","{'术之秘石': 5, '凤凰羽毛': 8, 'QP': 4000000}","{'术之秘石': 12, '血之泪石': 3, 'QP': 5000000}","{'血之泪石': 6, '极光之钢': 6, 'QP': 10000000}","{'极光之钢': 18, '虹之线球': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
阿塔兰忒〔Alter〕,4,Berserker,"{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '黑兽脂': 3, 'QP': 800000}","{'狂之秘石': 4, '黑兽脂': 5, 'QP': 2000000}","{'狂之秘石': 10, '世界树之种': 5, 'QP': 2500000}","{'世界树之种': 10, '振荡火药': 15, 'QP': 5000000}","{'振荡火药': 45, '混沌之爪': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '精灵根': 2, 'QP': 800000}","{'狂之秘石': 4, '精灵根': 4, 'QP': 2000000}","{'狂之秘石': 10, '起源的胎毛': 3, 'QP': 2500000}","{'起源的胎毛': 5, '闲古铃': 5, 'QP': 5000000}","{'闲古铃': 15, '祸罪之箭头': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
阿维斯布隆,3,Caster,"{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '人工生命体幼体': 4, 'QP': 400000}","{'术之秘石': 4, '人工生命体幼体': 7, 'QP': 1000000}","{'术之秘石': 8, '八连双晶': 4, 'QP': 1250000}","{'八连双晶': 7, '永远结冰': 4, 'QP': 2500000}","{'永远结冰': 12, '振荡火药': 48, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '封魔之灯': 2, 'QP': 400000}","{'术之秘石': 4, '封魔之灯': 4, 'QP': 1000000}","{'术之秘石': 8, '智慧之圣甲虫像': 2, 'QP': 1250000}","{'智慧之圣甲虫像': 3, '真理之卵': 2, 'QP': 2500000}","{'真理之卵': 5, '神脉灵子': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
